Run,Population Size,Crossover Rate,Mutation Rate,Generations,Best Distance,Best Path
1,100,0.6,0.1,100,62.180921934513435,Paris -> Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice -> Budapest -> Rio -> Berlin
2,100,0.6,0.1,100,65.87802430865098,Paris -> Rome -> Cairo -> Gliwice -> Budapest -> Berlin -> Rio -> Tokyo -> Krakow -> Alexandria
3,100,0.6,0.1,100,61.13744551656403,Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice
4,100,0.6,0.1,100,61.13744551656402,Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio
5,100,0.6,0.1,100,61.13744551656403,Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio
6,100,0.6,0.1,100,61.147486263112995,Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice
7,100,0.6,0.1,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
8,100,0.6,0.1,100,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
9,100,0.6,0.1,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
10,100,0.6,0.1,100,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
11,100,0.6,0.1,100,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
12,100,0.6,0.1,100,61.147486263112995,Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin
13,100,0.6,0.1,100,61.13744551656403,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria
14,100,0.6,0.1,100,61.147486263112995,Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin
15,100,0.6,0.1,100,61.13744551656403,Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo
16,100,0.6,0.1,100,61.147486263112995,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow
17,100,0.6,0.1,100,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
18,100,0.6,0.1,100,61.14748626311299,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo
19,100,0.6,0.1,100,61.14748626311299,Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow
20,100,0.6,0.1,100,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
21,100,0.6,0.1,100,62.180921934513435,Berlin -> Rio -> Budapest -> Gliwice -> Cairo -> Rome -> Tokyo -> Krakow -> Alexandria -> Paris
22,100,0.6,0.1,100,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
23,100,0.6,0.1,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
24,100,0.6,0.1,100,61.13744551656403,Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin
25,100,0.6,0.1,100,61.147486263112995,Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris
26,100,0.6,0.1,100,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
27,100,0.6,0.1,100,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
28,100,0.6,0.1,100,61.14748626311299,Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice
29,100,0.6,0.1,100,61.137445516564036,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice
30,100,0.6,0.1,100,61.14748626311299,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria
1,100,0.6,0.1,200,61.137445516564036,Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris
2,100,0.6,0.1,200,61.14748626311299,Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio
3,100,0.6,0.1,200,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
4,100,0.6,0.1,200,61.147486263112995,Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow
5,100,0.6,0.1,200,61.13744551656403,Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo
6,100,0.6,0.1,200,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
7,100,0.6,0.1,200,61.147486263112995,Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris
8,100,0.6,0.1,200,61.147486263112995,Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice
9,100,0.6,0.1,200,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
10,100,0.6,0.1,200,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
11,100,0.6,0.1,200,61.14748626311299,Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice
12,100,0.6,0.1,200,61.14748626311299,Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice
13,100,0.6,0.1,200,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
14,100,0.6,0.1,200,62.180921934513435,Tokyo -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Gliwice -> Cairo -> Rome
15,100,0.6,0.1,200,61.147486263112995,Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
16,100,0.6,0.1,200,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
17,100,0.6,0.1,200,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
18,100,0.6,0.1,200,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
19,100,0.6,0.1,200,61.14748626311299,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome
20,100,0.6,0.1,200,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
21,100,0.6,0.1,200,61.14748626311299,Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice
22,100,0.6,0.1,200,61.14748626311299,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome
23,100,0.6,0.1,200,61.13744551656403,Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio
24,100,0.6,0.1,200,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
25,100,0.6,0.1,200,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
26,100,0.6,0.1,200,61.13744551656403,Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris
27,100,0.6,0.1,200,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
28,100,0.6,0.1,200,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
29,100,0.6,0.1,200,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
30,100,0.6,0.1,200,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
1,100,0.6,0.1,300,61.147486263112995,Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
2,100,0.6,0.1,300,61.13744551656403,Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris
3,100,0.6,0.1,300,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
4,100,0.6,0.1,300,61.137445516564036,Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo
5,100,0.6,0.1,300,61.147486263112995,Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio
6,100,0.6,0.1,300,61.14748626311299,Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo
7,100,0.6,0.1,300,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
8,100,0.6,0.1,300,61.14748626311299,Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest
9,100,0.6,0.1,300,61.14748626311299,Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice
10,100,0.6,0.1,300,61.13744551656403,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo
11,100,0.6,0.1,300,61.13744551656402,Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio
12,100,0.6,0.1,300,61.13744551656403,Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin
13,100,0.6,0.1,300,61.13744551656402,Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio
14,100,0.6,0.1,300,61.13744551656403,Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin
15,100,0.6,0.1,300,61.13744551656403,Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
16,100,0.6,0.1,300,61.147486263112995,Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin
17,100,0.6,0.1,300,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
18,100,0.6,0.1,300,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
19,100,0.6,0.1,300,61.14748626311299,Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice
20,100,0.6,0.1,300,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
21,100,0.6,0.1,300,61.147486263112995,Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio
22,100,0.6,0.1,300,61.14748626311299,Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio
23,100,0.6,0.1,300,65.11676758969695,Rome -> Krakow -> Rio -> Berlin -> Paris -> Alexandria -> Tokyo -> Budapest -> Gliwice -> Cairo
24,100,0.6,0.1,300,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
25,100,0.6,0.1,300,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
26,100,0.6,0.1,300,61.14748626311299,Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Krakow
27,100,0.6,0.1,300,62.18092193451344,Gliwice -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Tokyo -> Rome -> Cairo
28,100,0.6,0.1,300,61.137445516564036,Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow
29,100,0.6,0.1,300,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
30,100,0.6,0.1,300,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
1,100,0.6,0.2,100,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
2,100,0.6,0.2,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
3,100,0.6,0.2,100,61.147486263112995,Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris
4,100,0.6,0.2,100,61.13744551656403,Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio
5,100,0.6,0.2,100,61.14748626311299,Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio
6,100,0.6,0.2,100,61.147486263112995,Berlin -> Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris
7,100,0.6,0.2,100,61.13744551656403,Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest
8,100,0.6,0.2,100,61.137445516564036,Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow
9,100,0.6,0.2,100,62.180921934513435,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Gliwice -> Cairo -> Rome -> Tokyo -> Krakow
10,100,0.6,0.2,100,61.147486263112995,Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo
11,100,0.6,0.2,100,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
12,100,0.6,0.2,100,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
13,100,0.6,0.2,100,62.180921934513435,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Tokyo -> Rome -> Cairo -> Gliwice
14,100,0.6,0.2,100,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
15,100,0.6,0.2,100,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
16,100,0.6,0.2,100,61.147486263112995,Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo
17,100,0.6,0.2,100,61.147486263112995,Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin
18,100,0.6,0.2,100,61.147486263112995,Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo
19,100,0.6,0.2,100,61.13744551656403,Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome
20,100,0.6,0.2,100,61.147486263112995,Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio
21,100,0.6,0.2,100,61.147486263112995,Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo
22,100,0.6,0.2,100,61.14748626311299,Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome -> Gliwice -> Cairo -> Krakow -> Tokyo
23,100,0.6,0.2,100,61.13744551656403,Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria
24,100,0.6,0.2,100,61.147486263112995,Rio -> Budapest -> Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin
25,100,0.6,0.2,100,61.13744551656403,Berlin -> Paris -> Alexandria -> Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio
26,100,0.6,0.2,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
27,100,0.6,0.2,100,61.147486263112995,Tokyo -> Krakow -> Cairo -> Gliwice -> Rome -> Alexandria -> Paris -> Berlin -> Rio -> Budapest
28,100,0.6,0.2,100,61.13744551656402,Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow -> Alexandria -> Paris -> Berlin -> Rio
29,100,0.6,0.2,100,61.13744551656403,Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Krakow -> Rome
30,100,0.6,0.2,100,61.13744551656403,Krakow -> Rome -> Cairo -> Gliwice -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
1,100,0.6,0.2,200,61.14748626311299,Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria -> Rome
2,100,0.6,0.2,200,62.180921934513435,Tokyo -> Krakow -> Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Gliwice -> Cairo -> Rome
3,100,0.6,0.2,200,61.14748626311299,Rome -> Gliwice -> Cairo -> Krakow -> Tokyo -> Budapest -> Rio -> Berlin -> Paris -> Alexandria
4,100,0.6,0.2,200,61.13744551656403,Alexandria -> Paris -> Berlin -> Rio -> Budapest -> Tokyo -> Gliwice -> Cairo -> Rome -> Krakow
